Implication Réseau 1/2/3,Implication 2019-2020,Implication 2017-2018,Latitude,Longitude,Département,Structure,Site Web,Adresse,Ville,CP,Full Address,Description,THEMATIQUE_1,THEMATIQUE_2,THEMATIQUE_3,Type de lieu,Organisation structurelle
,,2018,45.7646862,3.0821122,,PJJ Auvergne,https://lannuaire.service-public.fr/auvergne-rhone-alpes/puy-de-dome/ddpjj-63113-01,1 Avenue des Cottages,Clermont-Ferrand,63000,1 Avenue des Cottages Clermont-Ferrand 63000 ,Protection Judiciaire de la Jeunesse. Contribue au réseau Traces.,,,,,
,2020,2018,44.5630868,4.7536075,Drôme,ASSOFITAL,https://associationitalofrancaise.blogspot.com/p/a.html,1 avenue Saint Martin,Montélimar,26000,1 avenue Saint Martin Montélimar 26000 ,"L’Association Culturelle Franco-Italienne en Drôme Ardèche propose des cours d'italien tous niveaux, des ateliers de cuisine, des sorties et des événements culturels à destination des personnes amoureuses de culture italienne.",Equipements culturels / lieux / Champ culturel,Education /Educ pop,,,Association
,2020,,44.5630868,4.7536075,Drôme,Festival du Cinéma Italien de Montélimar Le Teil Cruas,https://www.assofital.fr/fr/festival/,1 avenue Saint Martin,Montélimar,26200,1 avenue Saint Martin Montélimar 26200 ,Festival de promotion de la langue et de la culture italienne. Participe à la biennale Traces 2020.,,,,,
,2020,2018,45.1530815,5.3190691,Isère,Médiathèque Intercommunale de Saint-Marcellin,https://www.saint-marcellin.fr/services/culture/mediatheque,1 Boulevard du Champ de Mars,Saint-Marcellin,38160,1 Boulevard du Champ de Mars Saint-Marcellin 38160 ,S'engage dans le réseau Traces en accueillant des conférences lors des biennales.,Equipements culturels / lieux / Champ culturel,,,Bibliothèque/médiathèque,Lieu
,2020,,44.6204834,4.3922913,Ardèche,MRAP Aubenas,https://www.facebook.com/mrap.aubenas/,1 Boulevard Gambetta,Aubenas,07200,1 Boulevard Gambetta Aubenas 07200 ,"Mouvement contre le Racisme et pour l'Amitié entre les Peuples. Entraide, solidarité et amitié sans aucune discrimination. Contribue au réseau Traces.",Accueil / Accompagnement / solidarités,,,,Association
,,,44.7314883,4.6001618,Ardèche,Ardèche Afrique Solidaires,https://www.Ardècheafriquesolidaires.com/,1 Boulevard Lancelot,Privas,07000,1 Boulevard Lancelot Privas 07000 ,"Anime un réseau d'une trentaine d'associations ardéchoises agissant sur le territoire africain et qui ont chacune des projets de co-développement dans divers pays. Organise le festival transdisciplinaire « Images et paroles d'Afrique ».",Accueil / Accompagnement / solidarités,Equipements culturels / lieux / Champ culturel,,Solidarité Internationale,Association
1,2020,"2018, 2007",46.1948788,5.2261422,Ain,Archives Départementales de l'Ain,http://www.archives.ain.fr/,1 Boulevard Paul Valéry,Bourg-en-Bresse,01000,1 Boulevard Paul Valéry Bourg-en-Bresse 01000 ,"Les Archives Départementales de l'Ain sont un des collaborateurs institutionnels de Traces depuis sa création, offrant des traces matérielles des migrations passées.",Patrimoine / mémoire,,,,Institution
,,,45.7740533,4.8382185,Rhône,Cie passeurs de mémoire,https://passeursdememoires.wixsite.com/passeursdememoires,1 cours d’Herbouville ,Lyon,69004,1 cours d’Herbouville  Lyon 69004 ,"[metteuse en scène??] Dominique Lurcel et sa compagnie « Passeurs de mémoires » mettent en scène des pièces de théâtre ainsi que rencontres, échanges et ateliers, notamment à propos de la question migrante. Ils participent à la Biennale Traces. ",Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,,,45.157186,5.7334689,Isère,Festival Ecoute(s),http://festivalecoute.org/,1 Cours des Erables,Grenoble,38100,1 Cours des Erables Grenoble 38100 ,Festival autour de l’écoute et de la création sonore,,,,,Festival
,,2018,43.2463235,0.0581061,Rhône,De Scène en Scène,https://www.desceneenscene.fr/,1 Impasse Dieudonné Costes,Tarbes,65000,1 Impasse Dieudonné Costes Tarbes 65000 ,,,,,,
